#dig start(81;81),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,,,d,,,d,,,d,,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,,d,,,d,,,d,,,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,d,,d,d,,d,d,d,d,d,d,d,d,d,d,d,,d,d,,d,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,,,d,,,d,,,d,,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,,,,,d,d,d,d,d,d,d,d,d,d,d,,,,,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,,d,,,d,,,d,,,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,d,,,,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,,,,d,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,d,d,d,,,,,d,,,,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,,,,d,,,,,d,d,d,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,,d,,,,,,d,,,,,,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,,,,,,d,,,,,,d,,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,d,d,,d,,d,d,,,d,,,d,d,,d,,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,,d,,d,d,,,d,,,d,d,,d,,d,d,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,d,d,,d,,d,d,,,,,,d,d,d,,d,d,d,d,d,d,d,,,d,,,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,,,d,,,d,d,d,d,d,d,d,,d,d,d,,,,,,d,d,,d,,d,d,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,,,,,,d,d,d,,d,d,,d,,d,d,,,d,,,d,d,,d,,d,d,,d,d,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,,d,d,,d,,d,d,,,d,,,d,d,,d,,d,d,,d,d,d,,,,,,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,d,d,,d,,d,d,,,d,d,,,d,,,,,,d,,,,,d,d,d,,,,,d,,,,,,d,,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,,d,,,,,,d,,,,,d,d,d,,,,,d,,,,,,d,,,d,d,,,d,d,,d,,d,d,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,d,d,d,,d,,d,d,d,,d,d,,,d,,,,,,d,,,,,d,d,d,,,,,d,,,,,,d,,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,,d,,,,,,d,,,,,d,d,d,,,,,d,,,,,,d,,,d,d,,d,d,d,,d,,d,d,d,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,d,d,,d,d,,d,,d,d,,d,d,d,,d,d,,d,,d,d,,d,d,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,,d,d,,d,,d,d,,d,d,d,,d,d,,d,,d,d,,d,d,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,,,,,,,,
,,,,,,,,,,d,d,d,,,,d,d,,,d,,,d,,,d,,,d,d,,d,d,d,,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,,d,d,d,,d,d,,,d,,,d,,,d,,,d,d,,,,d,d,d,,,,,,,,,
,,,,,,,,,,d,d,d,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,,d,,d,d,,d,d,d,,d,d,,d,,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,,d,,d,d,,d,d,d,,d,d,,d,,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,d,d,d,,,,,,,,,
,,,,,,,,,,,d,,,,,d,d,,,d,,,d,,,d,,,d,d,,,,,,,,,d,,,,,d,d,d,,,,,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,,,,,d,d,d,,,,,d,,,,,,,,,d,d,,,d,,,d,,,d,,,d,d,,,,,d,,,,,,,,,,
,,,,,,,,d,d,,d,,d,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,d,d,d,,,,d,d,d,,,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,,,d,d,d,,,,d,d,d,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,d,,d,,d,d,,,,,,,
,,,,d,d,d,,d,d,d,d,d,d,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,d,d,d,,,,d,d,d,,,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,,,d,d,d,,,,d,d,d,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,d,d,d,d,d,d,,d,d,d,,,
,,,,d,d,d,,d,d,,d,,d,d,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,d,d,,d,,d,d,,d,d,d,,,
,d,d,,,d,,,,,,d,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,,d,,,,,,d,,,d,d
,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
,d,d,,,d,,,,,,d,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,,d,,,,,,d,,,d,d
,,,,d,d,d,,d,d,,d,,d,d,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,d,d,,d,,d,d,,d,d,d,,,
,,,,d,d,d,,d,d,d,d,d,d,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,d,d,d,,,,d,d,d,,,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,,,d,d,d,,,,d,d,d,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,d,d,d,d,d,d,,d,d,d,,,
,,,,,,,,d,d,,d,,d,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,d,d,d,,,,d,d,d,,,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,,,d,d,d,,,,d,d,d,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,d,,d,,d,d,,,,,,,
,,,,,,,,,,,d,,,,,d,d,,,d,,,d,,,d,,,d,d,,,,,,,,,d,,,,,d,d,d,,,,,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,,,,,d,d,d,,,,,d,,,,,,,,,d,d,,,d,,,d,,,d,,,d,d,,,,,d,,,,,,,,,,
,,,,,,,,,,d,d,d,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,,d,,d,d,,d,d,d,,d,d,,d,,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,,d,,d,d,,d,d,d,,d,d,,d,,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,d,d,d,,,,,,,,,
,,,,,,,,,,d,d,d,,,,d,d,,,d,,,d,,,d,,,d,d,,d,d,d,,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,,d,d,d,,d,d,,,d,,,d,,,d,,,d,d,,,,d,d,d,,,,,,,,,
,,,,,,,,,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,d,d,,d,d,,d,,d,d,,d,d,d,,d,d,,d,,d,d,,d,d,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,,d,d,,d,,d,d,,d,d,d,,d,d,,d,,d,d,,d,d,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,d,d,d,,d,,d,d,d,,d,d,,,d,,,,,,d,,,,,d,d,d,,,,,d,,,,,,d,,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,,d,,,,,,d,,,,,d,d,d,,,,,d,,,,,,d,,,d,d,,d,d,d,,d,,d,d,d,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,d,d,,d,,d,d,,,d,d,,,d,,,,,,d,,,,,d,d,d,,,,,d,,,,,,d,,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,,d,,,,,,d,,,,,d,d,d,,,,,d,,,,,,d,,,d,d,,,d,d,,d,,d,d,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,,,,,,d,d,d,,d,d,,d,,d,d,,,d,,,d,d,,d,,d,d,,d,d,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,,d,d,,d,,d,d,,,d,,,d,d,,d,,d,d,,d,d,d,,,,,,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,d,d,,d,,d,d,,,,,,d,d,d,,d,d,d,d,d,d,d,,,d,,,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,,,d,,,d,d,d,d,d,d,d,,d,d,d,,,,,,d,d,,d,,d,d,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,d,d,,d,,d,d,,,d,,,d,d,,d,,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,,d,,d,d,,,d,,,d,d,,d,,d,d,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,,d,,,,,,d,,,,,,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,,,,,,d,,,,,,d,,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,d,d,d,,,,,d,,,,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,,,,d,,,,,d,d,d,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,d,,,,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,,,,d,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,d,d,d,d,d,d,d,d,d,d,d,,,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
